                                        34,,CMF1,,,                                        7.51,,                                        -0.69,,                                        -8.41,,                                        8.04,,                                        8.04,,                                        7.37,,"                                        2,200.00",,                                        8.20,
                                        35,,CMF2,,,                                        8.48,,                                        -0.38,,                                        -4.29,,                                        8.79,,                                        8.79,,                                        8.48,,"                                        20,100.00",,                                        8.86,
                                        36,,CORBL,,,                                        318.00,,                                        8.20,,                                        2.65,,                                        315.00,,                                        328.50,,                                        312.50,,"                                        3,734.00",,                                        309.80,
                                        37,,CZBIL,,,                                        169.20,,                                        -2.70,,                                        -1.57,,                                        171.90,,                                        172.00,,                                        169.10,,"                                        29,113.00",,                                        171.90,
                                        38,,DDBL,,,                                        734.00,,                                        7.00,,                                        0.96,,                                        723.00,,                                        735.00,,                                        718.20,,"                                        7,012.00",,                                        727.00,
                                        39,,DHPL,,,                                        193.00,,                                        -1.80,,                                        -0.92,,                                        192.00,,                                        195.90,,                                        188.60,,"                                        13,358.00",,                                        194.80,
                                        40,,DLBS,,,                                        739.90,,                                        19.90,,                                        2.76,,                                        734.00,,                                        762.90,,                                        692.00,,                                        961.00,,                                        720.00,
                                        41,,DOLTI,,,                                        270.00,,                                        -9.00,,                                        -3.23,,                                        273.50,,                                        276.00,,                                        266.00,,"                                        10,461.00",,                                        279.00,
                                        42,,DORDI,,,                                        259.00,,                                        -8.00,,                                        -3.00,,                                        264.00,,                                        271.00,,                                        257.00,,"                                        12,393.00",,                                        267.00,
                                        43,,EBL,,,                                        542.00,,                                        -2.90,,                                        -0.53,,                                        544.90,,                                        545.00,,                                        539.00,,"                                        40,453.00",,                                        544.90,
                                        44,,EDBL,,,                                        317.00,,                                        -1.00,,                                        -0.31,,                                        311.70,,                                        324.00,,                                        311.70,,"                                        16,254.00",,                                        318.00,
                                        45,,EHPL,,,                                        351.90,,                                        -10.10,,                                        -2.79,,                                        369.20,,                                        370.00,,                                        329.60,,"                                        4,377.00",,                                        362.00,
                                        46,,ENL,,,                                        660.50,,                                        -12.70,,                                        -1.89,,                                        659.80,,                                        675.00,,                                        650.70,,"                                        1,412.00",,                                        673.20,
                                        47,,FMDBL,,,                                        621.00,,                                        2.00,,                                        0.32,,                                        617.00,,                                        640.00,,                                        613.00,,"                                        23,040.00",,                                        619.00,
                                        48,,FOWAD,,,"                                        1,230.00",,                                        -4.80,,                                        -0.39,,"                                        1,250.00",,"                                        1,256.70",,"                                        1,215.50",,"                                        2,975.00",,"                                        1,234.80",
                                        49,,GBBD85,,,                                        822.00,,                                        0.00,,                                        0.00,,                                        822.00,,                                        822.00,,                                        822.00,,                                        75.00,,                                        822.00,
                                        50,,GBBL,,,                                        371.20,,                                        -5.80,,                                        -1.54,,                                        384.40,,                                        384.40,,                                        370.00,,"                                        32,856.00",,                                        377.00,
                                        51,,GBILD86/87,,,                                        780.00,,                                        0.00,,                                        0.00,,                                        780.00,,                                        780.00,,                                        780.00,,                                        10.00,,                                        780.00,
                                        52,,GBIME,,,                                        181.40,,                                        -0.30,,                                        -0.17,,                                        181.60,,                                        183.00,,                                        180.40,,"                                        77,006.00",,                                        181.70,
                                        53,,GBLBS,,,                                        525.00,,                                        1.10,,                                        0.21,,                                        524.00,,                                        534.30,,                                        516.00,,"                                        5,930.00",,                                        523.90,
                                        54,,GFCL,,,                                        444.00,,                                        -8.00,,                                        -1.77,,                                        459.00,,                                        461.00,,                                        444.00,,"                                        11,508.00",,                                        452.00,
                                        55,,GHL,,,                                        229.00,,                                        3.20,,                                        1.42,,                                        225.00,,                                        229.50,,                                        220.00,,"                                        23,026.00",,                                        225.80,
                                        56,,GIBF1,,,                                        8.67,,                                        0.51,,                                        6.25,,                                        8.16,,                                        8.67,,                                        8.16,,"                                        8,100.00",,                                        8.16,
                                        57,,GILB,,,                                        906.00,,                                        21.10,,                                        2.38,,                                        875.00,,                                        906.00,,                                        875.00,,"                                        5,106.00",,                                        884.90,
                                        58,,GLBSL,,,                                        718.00,,                                        18.00,,                                        2.57,,                                        690.00,,                                        718.00,,                                        687.10,,                                        848.00,,                                        700.00,
                                        59,,GLH,,,                                        264.00,,                                        -6.90,,                                        -2.55,,                                        274.50,,                                        274.50,,                                        261.70,,"                                        9,831.00",,                                        270.90,
                                        60,,GMFBS,,,                                        726.40,,                                        -13.60,,                                        -1.84,,                                        754.80,,                                        754.80,,                                        726.00,,                                        52.00,,                                        740.00,
                                        61,,GMFIL,,,                                        339.90,,                                        3.90,,                                        1.16,,                                        336.10,,                                        348.70,,                                        328.00,,"                                        9,111.00",,                                        336.00,
                                        62,,GRDBL,,,                                        272.50,,                                        -7.40,,                                        -2.64,,                                        285.40,,                                        291.10,,                                        267.20,,"                                        4,152.00",,                                        279.90,
                                        63,,GUFL,,,                                        535.00,,                                        -7.00,,                                        -1.29,,                                        544.00,,                                        547.00,,                                        532.00,,"                                        19,787.00",,                                        542.00,
                                        64,,GVL,,,                                        438.00,,                                        -15.00,,                                        -3.31,,                                        445.00,,                                        461.00,,                                        431.10,,"                                        23,136.00",,                                        453.00,
                                        65,,GWFD83,,,"                                        1,060.20",,                                        -15.80,,                                        -1.47,,"                                        1,060.20",,"                                        1,060.20",,"                                        1,060.20",,                                        23.00,,"                                        1,076.00",
                                        66,,HBL,,,                                        212.00,,                                        -2.00,,                                        -0.93,,                                        217.00,,                                        217.00,,                                        211.00,,"                                        37,402.00",,                                        214.00,
                                        67,,HDHPC,,,                                        160.10,,                                        -1.90,,                                        -1.17,,                                        164.00,,                                        165.20,,                                        160.00,,"                                        78,946.00",,                                        162.00,
                                        68,,HDL,,,"                                        2,355.00",,                                        10.00,,                                        0.43,,"                                        2,390.00",,"                                        2,392.00",,"                                        2,345.00",,"                                        63,352.00",,"                                        2,345.00",
                                        69,,HEI,,,                                        569.00,,                                        16.00,,                                        2.89,,                                        564.00,,                                        571.00,,                                        550.00,,"                                        54,982.00",,                                        553.00,
                                        70,,HEIP,,,                                        368.70,,                                        -40.90,,                                        -9.99,,                                        401.50,,                                        401.50,,                                        368.70,,"                                        1,585.00",,                                        409.60,
                                        71,,HHL,,,                                        261.00,,                                        -6.00,,                                        -2.25,,                                        262.30,,                                        270.00,,                                        252.50,,"                                        10,076.00",,                                        267.00,
                                        72,,HIDCL,,,                                        198.50,,                                        -0.50,,                                        -0.25,,                                        202.90,,                                        202.90,,                                        194.30,,"                                        134,627.00",,                                        199.00,
                                        73,,HIDCLP,,,                                        108.50,,                                        -0.50,,                                        -0.46,,                                        110.60,,                                        111.10,,                                        106.20,,"                                        155,587.00",,                                        109.00,
                                        74,,HLI,,,                                        381.10,,                                        381.10,,                                        0.00,,                                        350.00,,                                        381.10,,                                        350.00,,"                                        1,694.00",,                                        0.00,
                                        75,,HPPL,,,                                        272.00,,                                        -9.00,,                                        -3.20,,                                        279.20,,                                        283.00,,                                        271.60,,"                                        27,799.00",,                                        281.00,
                                        76,,HURJA,,,                                        265.00,,                                        -4.20,,                                        -1.56,,                                        264.10,,                                        272.00,,                                        260.00,,"                                        22,434.00",,                                        269.20,
                                        77,,ICFC,,,                                        461.10,,                                        -0.90,,                                        -0.19,,                                        460.00,,                                        475.00,,                                        458.00,,"                                        36,688.00",,                                        462.00,
                                        78,,IGI,,,                                        561.00,,                                        14.00,,                                        2.56,,                                        557.90,,                                        564.80,,                                        544.60,,"                                        237,721.00",,                                        547.00,
                                        79,,IHL,,,                                        316.00,,                                        -25.60,,                                        -7.53,,                                        346.80,,                                        346.80,,                                        314.00,,"                                        34,344.00",,                                        340.10,
                                        80,,ILBS,,,                                        655.00,,                                        -13.80,,                                        -2.06,,                                        670.00,,                                        681.80,,                                        650.00,,"                                        1,932.00",,                                        668.80,
                                        81,,JALPA,,,"                                        1,505.00",,                                        -35.00,,                                        -2.27,,"                                        1,520.00",,"                                        1,520.00",,"                                        1,496.00",,                                        772.00,,"                                        1,540.00",
                                        82,,JBBL,,,                                        290.00,,                                        -2.00,,                                        -0.68,,                                        292.00,,                                        295.00,,                                        287.00,,"                                        39,044.00",,                                        292.00,
                                        83,,JBLB,,,"                                        1,530.10",,                                        -25.10,,                                        -1.61,,"                                        1,555.20",,"                                        1,579.80",,"                                        1,530.10",,"                                        3,656.00",,"                                        1,555.20",
                                        84,,JFL,,,                                        385.10,,                                        -4.90,,                                        -1.26,,                                        390.00,,                                        400.00,,                                        385.00,,"                                        13,976.00",,                                        390.00,
                                        85,,JOSHI,,,                                        265.50,,                                        -8.40,,                                        -3.07,,                                        271.00,,                                        275.40,,                                        264.90,,"                                        42,583.00",,                                        273.90,
                                        86,,JSLBB,,,                                        960.00,,                                        -33.00,,                                        -3.32,,                                        973.20,,"                                        1,030.00",,                                        960.00,,                                        711.00,,                                        993.00,
                                        87,,KBL,,,                                        161.00,,                                        -1.40,,                                        -0.86,,                                        163.00,,                                        163.00,,                                        160.00,,"                                        95,852.00",,                                        162.40,
                                        88,,KDBY,,,                                        8.49,,                                        -0.07,,                                        -0.82,,                                        8.40,,                                        8.55,,                                        8.40,,"                                        2,200.00",,                                        8.56,
                                        89,,KDL,,,"                                        1,023.00",,                                        93.00,,                                        10.00,,                                        930.00,,"                                        1,023.00",,                                        921.00,,"                                        57,497.00",,                                        930.00,
                                        90,,KEF,,,                                        8.50,,                                        0.00,,                                        0.00,,                                        8.33,,                                        8.50,,                                        8.33,,"                                        7,400.00",,                                        8.50,
                                        91,,KKHC,,,                                        212.90,,                                        -4.60,,                                        -2.11,,                                        215.00,,                                        218.00,,                                        211.70,,"                                        9,598.00",,                                        217.50,
                                        92,,KLBS,,,                                        875.00,,                                        3.70,,                                        0.42,,                                        853.90,,                                        888.00,,                                        853.90,,                                        190.00,,                                        871.30,
                                        93,,KLBSL,,,                                        695.80,,                                        -28.20,,                                        -3.90,,                                        710.00,,                                        710.00,,                                        695.80,,                                        259.00,,                                        724.00,
                                        94,,KMCDB,,,                                        705.00,,                                        -4.00,,                                        -0.56,,                                        700.00,,                                        708.00,,                                        694.00,,                                        959.00,,                                        709.00,
                                        95,,KPCL,,,                                        377.00,,                                        -28.00,,                                        -6.91,,                                        397.00,,                                        397.00,,                                        377.00,,"                                        7,788.00",,                                        405.00,
                                        96,,KRBL,,,                                        279.00,,                                        -3.00,,                                        -1.06,,                                        276.50,,                                        287.00,,                                        273.00,,"                                        12,879.00",,                                        282.00,
                                        97,,KSBBL,,,                                        322.00,,                                        -0.60,,                                        -0.19,,                                        321.10,,                                        328.00,,                                        318.00,,"                                        33,360.00",,                                        322.60,
                                        98,,LBBL,,,                                        380.00,,                                        -4.90,,                                        -1.27,,                                        385.00,,                                        392.50,,                                        377.50,,"                                        54,374.00",,                                        384.90,
                                        99,,LBL,,,                                        172.80,,                                        -0.80,,                                        -0.46,,                                        173.00,,                                        175.00,,                                        170.70,,"                                        33,104.00",,                                        173.60,
                                        100,,LEC,,,                                        243.00,,                                        -4.60,,                                        -1.86,,                                        243.00,,                                        255.00,,                                        243.00,,"                                        15,209.00",,                                        247.60,
                                        101,,LEMF,,,                                        8.85,,                                        -0.09,,                                        -1.01,,                                        8.85,,                                        8.85,,                                        8.85,,                                        100.00,,                                        8.94,
                                        102,,LICN,,,"                                        1,584.00",,                                        24.00,,                                        1.54,,"                                        1,547.00",,"                                        1,602.00",,"                                        1,547.00",,"                                        20,614.00",,"                                        1,560.00",
                                        103,,LLBS,,,                                        799.00,,                                        1.10,,                                        0.14,,                                        799.00,,                                        810.00,,                                        784.00,,                                        255.00,,                                        797.90,
                                        104,,LUK,,,                                        8.82,,                                        0.00,,                                        0.00,,                                        8.78,,                                        8.99,,                                        8.78,,"                                        45,865.00",,                                        8.82,
                                        105,,MAKAR,,,                                        317.00,,                                        -3.00,,                                        -0.94,,                                        320.00,,                                        326.40,,                                        303.00,,"                                        15,147.00",,                                        320.00,
                                        106,,MBJC,,,                                        330.00,,                                        -8.00,,                                        -2.37,,                                        340.00,,                                        341.70,,                                        325.00,,"                                        41,341.00",,                                        338.00,
                                        107,,MBL,,,                                        230.00,,                                        -0.10,,                                        -0.04,,                                        230.10,,                                        232.00,,                                        226.30,,"                                        33,910.00",,                                        230.10,
                                        108,,MCHL,,,                                        247.20,,                                        -8.20,,                                        -3.21,,                                        253.00,,                                        260.00,,                                        246.20,,"                                        13,557.00",,                                        255.40,
                                        109,,MDB,,,                                        389.80,,                                        -1.20,,                                        -0.31,,                                        391.70,,                                        395.00,,                                        383.00,,"                                        6,208.00",,                                        391.00,
                                        110,,MEN,,,                                        833.00,,                                        -43.10,,                                        -4.92,,                                        858.60,,                                        880.00,,                                        817.40,,"                                        3,310.00",,                                        876.10,
                                        111,,MERO,,,                                        580.00,,                                        8.00,,                                        1.40,,                                        572.00,,                                        591.00,,                                        572.00,,"                                        3,194.00",,                                        572.00,
                                        112,,MFIL,,,                                        465.00,,                                        3.00,,                                        0.65,,                                        467.40,,                                        480.00,,                                        458.00,,"                                        23,237.00",,                                        462.00,
                                        113,,MHCL,,,                                        226.00,,                                        -2.10,,                                        -0.92,,                                        225.00,,                                        230.40,,                                        221.90,,"                                        12,510.00",,                                        228.10,
                                        114,,MHL,,,                                        328.00,,                                        -13.00,,                                        -3.81,,                                        347.80,,                                        347.80,,                                        328.00,,"                                        6,041.00",,                                        341.00,
                                        115,,MHNL,,,                                        260.00,,                                        -7.90,,                                        -2.95,,                                        268.00,,                                        269.00,,                                        254.80,,"                                        65,394.00",,                                        267.90,
                                        116,,MKHC,,,                                        245.00,,                                        -10.00,,                                        -3.92,,                                        259.00,,                                        259.00,,                                        241.00,,"                                        19,022.00",,                                        255.00,
                                        117,,MKHL,,,                                        289.80,,                                        1.80,,                                        0.63,,                                        282.30,,                                        293.60,,                                        282.30,,"                                        13,803.00",,                                        288.00,
                                        118,,MKJC,,,                                        396.00,,                                        0.00,,                                        0.00,,                                        396.00,,                                        396.00,,                                        385.00,,                                        780.00,,                                        396.00,
                                        119,,MKLB,,,                                        742.00,,                                        42.00,,                                        6.00,,                                        714.00,,                                        742.00,,                                        676.40,,"                                        1,400.00",,                                        700.00,
                                        120,,MLBBL,,,                                        874.00,,                                        1.00,,                                        0.11,,                                        873.00,,                                        878.00,,                                        857.00,,                                        807.00,,                                        873.00,
                                        121,,MLBL,,,                                        325.00,,                                        -2.00,,                                        -0.61,,                                        322.00,,                                        334.90,,                                        321.50,,"                                        34,117.00",,                                        327.00,
                                        122,,MLBS,,,                                        760.00,,                                        -10.00,,                                        -1.30,,                                        760.00,,                                        766.10,,                                        751.10,,                                        405.00,,                                        770.00,
                                        123,,MLBSL,,,"                                        1,970.00",,                                        -5.00,,                                        -0.25,,"                                        1,975.00",,"                                        1,998.90",,"                                        1,955.00",,                                        978.00,,"                                        1,975.00",
                                        124,,MMF1,,,                                        7.23,,                                        -0.11,,                                        -1.50,,                                        7.20,,                                        7.37,,                                        7.20,,"                                        15,334.00",,                                        7.34,
                                        125,,MMFDB,,,                                        646.00,,                                        7.90,,                                        1.24,,                                        640.00,,                                        656.00,,                                        638.00,,"                                        2,824.00",,                                        638.10,
                                        126,,MNBBL,,,                                        405.00,,                                        1.00,,                                        0.25,,                                        404.00,,                                        410.00,,                                        401.00,,"                                        26,876.00",,                                        404.00,
                                        127,,MPFL,,,                                        334.00,,                                        -3.00,,                                        -0.89,,                                        340.00,,                                        342.00,,                                        331.00,,"                                        8,855.00",,                                        337.00,
                                        128,,MSLB,,,                                        821.00,,                                        1.00,,                                        0.12,,                                        805.00,,                                        821.00,,                                        805.00,,                                        164.00,,                                        820.00,
                                        129,,NABBC,,,                                        402.00,,                                        -3.00,,                                        -0.74,,                                        400.00,,                                        411.90,,                                        400.00,,"                                        1,657.00",,                                        405.00,
